layer,"ruler/4096,none","ruler/4096_stderr,none","niah_multikey_1/4096,none","niah_multikey_1/4096_stderr,none","niah_multikey_2/4096,none","niah_multikey_2/4096_stderr,none","niah_multikey_3/4096,none","niah_multikey_3/4096_stderr,none","niah_multiquery/4096,none","niah_multiquery/4096_stderr,none","niah_multivalue/4096,none","niah_multivalue/4096_stderr,none","niah_single_1/4096,none","niah_single_1/4096_stderr,none","niah_single_2/4096,none","niah_single_2/4096_stderr,none","niah_single_3/4096,none","niah_single_3/4096_stderr,none","ruler_cwe/4096,none","ruler_cwe/4096_stderr,none","ruler_fwe/4096,none","ruler_fwe/4096_stderr,none","ruler_qa_hotpot/4096,none","ruler_qa_hotpot/4096_stderr,none","ruler_qa_squad/4096,none","ruler_qa_squad/4096_stderr,none","ruler_vt/4096,none","ruler_vt/4096_stderr,none"
23,0.9130615384615385,N/A,1.0,N/A,0.99,N/A,0.996,N/A,0.999,N/A,0.9915,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.7834,N/A,0.8526666666666667,N/A,0.522,N/A,0.7368333333333333,N/A,0.9984,N/A
18,0.9166692307692308,N/A,1.0,N/A,0.996,N/A,0.99,N/A,0.9995,N/A,0.9905,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.8196,N/A,0.8906666666666666,N/A,0.498,N/A,0.7368333333333333,N/A,0.9956,N/A
21,0.9025128205128206,N/A,0.998,N/A,0.988,N/A,0.948,N/A,0.9845,N/A,0.934,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.8192,N/A,0.8766666666666666,N/A,0.472,N/A,0.7455,N/A,0.9668,N/A
20,0.562648717948718,N/A,0.634,N/A,0.662,N/A,0.054,N/A,0.664,N/A,0.386,N/A,0.514,N/A,0.542,N/A,0.132,N/A,0.8174,N/A,0.8266666666666667,N/A,0.46,N/A,0.7331666666666666,N/A,0.8892,N/A
16,0.9156538461538463,N/A,0.998,N/A,0.996,N/A,0.994,N/A,0.9995,N/A,0.9895,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.8254,N/A,0.8633333333333334,N/A,0.502,N/A,0.7381666666666666,N/A,0.9976,N/A
27,0.9050230769230769,N/A,1.0,N/A,0.982,N/A,0.966,N/A,0.9995,N/A,0.9755,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.8184,N/A,0.8126666666666666,N/A,0.48,N/A,0.7468333333333333,N/A,0.9843999999999999,N/A
25,0.9109102564102565,N/A,1.0,N/A,0.986,N/A,0.95,N/A,0.999,N/A,0.982,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.826,N/A,0.8586666666666666,N/A,0.512,N/A,0.7301666666666666,N/A,0.998,N/A
26,0.9146897435897436,N/A,1.0,N/A,0.994,N/A,0.996,N/A,0.9995,N/A,0.9925,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.8196,N/A,0.85,N/A,0.504,N/A,0.7381666666666666,N/A,0.9972000000000001,N/A
31,0.9067948717948718,N/A,0.998,N/A,0.976,N/A,0.986,N/A,0.9985,N/A,0.992,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.7554,N/A,0.86,N/A,0.506,N/A,0.7268333333333333,N/A,0.9896,N/A
29,0.9181256410256411,N/A,1.0,N/A,0.99,N/A,0.994,N/A,0.9995,N/A,0.9905,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.8076,N/A,0.888,N/A,0.514,N/A,0.7548333333333334,N/A,0.9972000000000001,N/A
30,0.9140410256410256,N/A,0.998,N/A,0.99,N/A,0.976,N/A,0.999,N/A,0.9925,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.8206,N/A,0.89,N/A,0.484,N/A,0.7348333333333333,N/A,0.9976,N/A
28,0.9177179487179488,N/A,1.0,N/A,0.992,N/A,0.994,N/A,0.9995,N/A,0.991,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.835,N/A,0.8766666666666666,N/A,0.514,N/A,0.7321666666666666,N/A,0.996,N/A
24,0.9169205128205129,N/A,1.0,N/A,0.992,N/A,0.994,N/A,0.9995,N/A,0.9915,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.8144,N/A,0.8806666666666666,N/A,0.516,N/A,0.7355,N/A,0.9964,N/A
33,0.8669923076923076,N/A,1.0,N/A,0.992,N/A,0.988,N/A,0.999,N/A,0.992,N/A,1.0,N/A,1.0,N/A,0.998,N/A,0.4686,N/A,0.8073333333333333,N/A,0.456,N/A,0.7191666666666666,N/A,0.8508,N/A
35,0.9169358974358974,N/A,1.0,N/A,0.992,N/A,0.994,N/A,0.9995,N/A,0.9915,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.8242,N/A,0.878,N/A,0.506,N/A,0.7381666666666666,N/A,0.9967999999999999,N/A
34,0.9159769230769231,N/A,1.0,N/A,0.992,N/A,0.996,N/A,0.9995,N/A,0.9915,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.8204,N/A,0.878,N/A,0.504,N/A,0.7295,N/A,0.9967999999999999,N/A
32,0.9015358974358973,N/A,1.0,N/A,0.986,N/A,0.972,N/A,0.995,N/A,0.987,N/A,1.0,N/A,1.0,N/A,1.0,N/A,0.714,N/A,0.888,N/A,0.498,N/A,0.7311666666666666,N/A,0.9488,N/A
